Run,sex,y,dose,n
1,Male,9,0,10
1,Male,4,0,10
1,Male,6,0,10
2,Male,8,0,10
2,Male,6,0,10
2,Male,9,0,10
1,Male,6,6,10
1,Male,6,6,10
1,Male,8,6,10
2,Male,8,6,10
2,Male,9,6,10
2,Male,6,6,10
1,Male,7,133,10
1,Male,8,133,10
1,Male,8,133,10
2,Male,8,175,10
2,Male,8,175,10
2,Male,4,175,10
1,Male,9,175,10
1,Male,5,175,10
1,Male,7,175,10
2,Male,7,206,10
2,Male,8,206,10
2,Male,6,206,10
1,Male,8,302,10
1,Male,8,302,10
1,Male,6,302,10
2,Male,8,324,10
2,Male,10,324,10
2,Male,8,324,10
1,Male,6,376,10
1,Male,8,376,10
1,Male,5,376,10
2,Male,9,521,10
2,Male,9,521,10
2,Male,4,521,10
1,Female,6,0,10
1,Female,4,0,10
1,Female,0,0,10
2,Female,5,0,10
2,Female,8,0,10
2,Female,3,0,10
1,Female,6,6,10
1,Female,2,6,10
1,Female,5,6,10
2,Female,3,6,10
2,Female,2,6,10
2,Female,3,6,10
1,Female,7,133,10
1,Female,5,133,10
1,Female,0,133,10
2,Female,6,175,10
2,Female,6,175,10
2,Female,2,175,10
1,Female,3,175,10
1,Female,5,175,10
1,Female,1,175,10
2,Female,7,206,10
2,Female,5,206,10
2,Female,2,206,10
1,Female,7,302,10
1,Female,4,302,10
1,Female,0,302,10
2,Female,6,324,10
2,Female,5,324,10
2,Female,4,324,10
1,Female,4,376,10
1,Female,5,376,10
1,Female,0,376,10
2,Female,7,521,10
2,Female,2,521,10
2,Female,3,521,10
