run,sex,dose,cage,individual_moth,survival_time,status
1,m,0,1,1,1,Completed
1,m,0,1,2,5,Completed
1,m,0,1,3,5,Completed
1,m,0,1,4,7,Completed
1,m,0,1,5,8,Completed
1,m,0,1,6,9,Completed
1,m,0,1,7,9,Completed
1,m,0,1,8,9,Completed
1,m,0,1,9,14,Censored
1,m,0,1,10,14,Censored
1,m,0,2,1,3,Completed
1,m,0,2,2,5,Completed
1,m,0,2,3,5,Completed
1,m,0,2,4,5,Completed
1,m,0,2,5,6,Completed
1,m,0,2,6,7,Completed
1,m,0,2,7,7,Completed
1,m,0,2,8,8,Completed
1,m,0,2,9,11,Completed
1,m,0,2,10,12,Completed
1,m,0,3,1,3,Completed
1,m,0,3,2,6,Completed
1,m,0,3,3,6,Completed
1,m,0,3,4,6,Completed
1,m,0,3,5,8,Completed
1,m,0,3,6,8,Completed
1,m,0,3,7,8,Completed
1,m,0,3,8,9,Completed
1,m,0,3,9,10,Completed
1,m,6,1,1,2,Completed
1,m,6,1,2,2,Completed
1,m,6,1,3,8,Completed
1,m,6,1,4,8,Completed
1,m,6,1,5,9,Completed
1,m,6,1,6,10,Completed
1,m,6,1,7,11,Completed
1,m,6,1,8,14,Completed
1,m,6,1,9,14,Censored
1,m,6,1,10,14,Censored
1,m,6,2,1,5,Completed
1,m,6,2,2,7,Completed
1,m,6,2,3,7,Completed
1,m,6,2,4,7,Completed
1,m,6,2,5,10,Completed
1,m,6,2,6,10,Completed
1,m,6,2,7,11,Completed
1,m,6,2,8,13,Completed
1,m,6,2,9,14,Censored
1,m,6,2,10,14,Censored
1,m,6,2,11,14,Censored
1,m,6,3,1,1,Completed
1,m,6,3,2,2,Completed
1,m,6,3,3,3,Completed
1,m,6,3,4,7,Completed
1,m,6,3,5,7,Completed
1,m,6,3,6,7,Completed
1,m,6,3,7,10,Completed
1,m,6,3,8,10,Completed
1,m,6,3,9,14,Censored
1,m,133,1,1,1,Completed
1,m,133,1,2,7,Completed
1,m,133,1,3,7,Completed
1,m,133,1,4,7,Completed
1,m,133,1,5,8,Completed
1,m,133,1,6,11,Completed
1,m,133,1,7,12,Completed
1,m,133,1,8,12,Completed
1,m,133,1,9,14,Censored
1,m,133,1,10,14,Censored
1,m,133,2,1,7,Completed
1,m,133,2,2,9,Completed
1,m,133,2,3,9,Completed
1,m,133,2,4,9,Completed
1,m,133,2,5,10,Completed
1,m,133,2,6,10,Completed
1,m,133,2,7,10,Completed
1,m,133,2,8,14,Completed
1,m,133,2,9,14,Censored
1,m,133,2,10,14,Censored
1,m,133,3,1,3,Completed
1,m,133,3,2,8,Completed
1,m,133,3,3,9,Completed
1,m,133,3,4,10,Completed
1,m,133,3,5,10,Completed
1,m,133,3,6,12,Completed
1,m,133,3,7,13,Completed
1,m,133,3,8,14,Completed
1,m,133,3,9,14,Completed
1,m,133,3,10,14,Censored
1,m,175,1,1,6,Completed
1,m,175,1,2,6,Completed
1,m,175,1,3,7,Completed
1,m,175,1,4,7,Completed
1,m,175,1,5,8,Completed
1,m,175,1,6,10,Completed
1,m,175,1,7,10,Completed
1,m,175,1,8,10,Completed
1,m,175,1,9,14,Completed
1,m,175,1,10,14,Censored
1,m,175,2,1,8,Completed
1,m,175,2,2,8,Completed
1,m,175,2,3,7,Completed
1,m,175,2,4,10,Completed
1,m,175,2,5,13,Completed
1,m,175,2,6,14,Completed
1,m,175,2,7,14,Completed
1,m,175,2,8,14,Censored
1,m,175,2,9,14,Censored
1,m,175,3,1,5,Completed
1,m,175,3,2,6,Completed
1,m,175,3,3,8,Completed
1,m,175,3,4,8,Completed
1,m,175,3,5,9,Completed
1,m,175,3,6,11,Completed
1,m,175,3,7,12,Completed
1,m,175,3,8,14,Completed
1,m,175,3,9,14,Completed
1,m,175,3,10,14,Censored
1,m,175,3,11,14,Censored
1,m,302,1,1,1,Completed
1,m,302,1,2,3,Completed
1,m,302,1,3,6,Completed
1,m,302,1,4,10,Completed
1,m,302,1,5,10,Completed
1,m,302,1,6,12,Completed
1,m,302,1,7,13,Completed
1,m,302,1,8,13,Completed
1,m,302,1,9,13,Completed
1,m,302,1,10,14,Censored
1,m,302,2,1,7,Completed
1,m,302,2,2,7,Completed
1,m,302,2,3,8,Completed
1,m,302,2,4,9,Completed
1,m,302,2,5,9,Completed
1,m,302,2,6,10,Completed
1,m,302,2,7,12,Completed
1,m,302,2,8,14,Completed
1,m,302,2,9,14,Completed
1,m,302,2,10,14,Completed
1,m,302,3,1,7,Completed
1,m,302,3,2,10,Completed
1,m,302,3,3,14,Completed
1,m,302,3,4,14,Censored
1,m,302,3,5,14,Censored
1,m,302,3,6,14,Censored
1,m,302,3,7,14,Censored
1,m,302,3,8,14,Censored
1,m,302,3,9,14,Censored
1,m,302,3,10,14,Censored
1,m,376,1,1,7,Completed
1,m,376,1,2,7,Completed
1,m,376,1,3,8,Completed
1,m,376,1,4,8,Completed
1,m,376,1,5,10,Completed
1,m,376,1,6,13,Completed
1,m,376,1,7,13,Completed
1,m,376,1,8,14,Censored
1,m,376,1,9,14,Censored
1,m,376,1,10,14,Censored
1,m,376,2,1,7,Completed
1,m,376,2,2,8,Completed
1,m,376,2,3,8,Completed
1,m,376,2,4,8,Completed
1,m,376,2,5,10,Completed
1,m,376,2,6,10,Completed
1,m,376,2,7,11,Completed
1,m,376,2,8,11,Completed
1,m,376,2,9,12,Completed
1,m,376,2,10,12,Completed
1,m,376,2,11,14,Censored
1,m,376,3,1,1,Completed
1,m,376,3,2,1,Completed
1,m,376,3,3,1,Completed
1,m,376,3,4,5,Completed
1,m,376,3,5,8,Completed
1,m,376,3,6,10,Completed
1,m,376,3,7,10,Completed
1,m,376,3,8,14,Censored
1,m,376,3,9,14,Censored
1,f,0,1,1,3,Completed
1,f,0,1,2,7,Completed
1,f,0,1,3,7,Completed
1,f,0,1,4,7,Completed
1,f,0,1,5,9,Completed
1,f,0,1,6,12,Completed
1,f,0,1,7,13,Completed
1,f,0,1,8,14,Completed
1,f,0,1,9,14,Censored
1,f,0,1,10,14,Censored
1,f,0,2,1,6,Completed
1,f,0,2,2,9,Completed
1,f,0,2,3,11,Completed
1,f,0,2,4,12,Completed
1,f,0,2,5,12,Completed
1,f,0,2,6,13,Completed
1,f,0,2,7,14,Censored
1,f,0,2,8,14,Censored
1,f,0,2,9,14,Censored
1,f,0,2,10,14,Censored
1,f,0,3,1,5,Completed
1,f,0,3,2,7,Completed
1,f,0,3,3,12,Completed
1,f,0,3,4,13,Completed
1,f,0,3,5,14,Completed
1,f,0,3,6,14,Completed
1,f,0,3,7,14,Censored
1,f,0,3,8,14,Censored
1,f,0,3,9,14,Censored
1,f,6,1,1,2,Completed
1,f,6,1,2,10,Completed
1,f,6,1,3,11,Completed
1,f,6,1,4,13,Completed
1,f,6,1,5,14,Completed
1,f,6,1,6,14,Completed
1,f,6,1,7,14,Censored
1,f,6,1,8,14,Censored
1,f,6,1,9,14,Censored
1,f,6,1,10,14,Censored
1,f,6,2,1,3,Completed
1,f,6,2,2,2,Completed
1,f,6,2,3,6,Completed
1,f,6,2,4,8,Completed
1,f,6,2,5,8,Completed
1,f,6,2,6,10,Completed
1,f,6,2,7,14,Completed
1,f,6,2,8,14,Censored
1,f,6,2,9,14,Censored
1,f,6,3,1,7,Completed
1,f,6,3,2,9,Completed
1,f,6,3,3,9,Completed
1,f,6,3,4,9,Completed
1,f,6,3,5,10,Completed
1,f,6,3,6,13,Completed
1,f,6,3,7,14,Censored
1,f,6,3,8,14,Censored
1,f,6,3,9,14,Censored
1,f,133,1,1,1,Completed
1,f,133,1,2,2,Completed
1,f,133,1,3,6,Completed
1,f,133,1,4,9,Completed
1,f,133,1,5,10,Completed
1,f,133,1,6,11,Completed
1,f,133,1,7,13,Completed
1,f,133,1,8,14,Censored
1,f,133,1,9,14,Censored
1,f,133,1,10,14,Censored
1,f,133,2,1,1,Completed
1,f,133,2,2,2,Completed
1,f,133,2,3,7,Completed
1,f,133,2,4,10,Completed
1,f,133,2,5,11,Completed
1,f,133,2,6,12,Completed
1,f,133,2,7,13,Completed
1,f,133,2,8,14,Completed
1,f,133,2,9,14,Completed
1,f,133,2,10,14,Censored
