"rep","Dose","Sex","Mated"
2,6,"Male","No"
2,6,"Male","Yes"
2,6,"Male","No"
2,6,"Male","Yes"
2,6,"Male","No"
2,6,"Male","Yes"
2,6,"Male","Yes"
2,6,"Male","Yes"
2,6,"Male","No"
2,6,"Male","No"
2,6,"Male","Yes"
2,6,"Male","Yes"
2,6,"Male","No"
2,6,"Male","No"
2,6,"Male","No"
2,6,"Male","No"
2,6,"Male","Yes"
2,6,"Male","No"
2,6,"Male","Yes"
2,6,"Male","Yes"
2,6,"Male","Yes"
2,6,"Male","Yes"
2,6,"Male","Yes"
2,6,"Male","No"
2,6,"Male","No"
2,6,"Male","No"
2,6,"Male","Yes"
2,6,"Male","Yes"
2,6,"Male","No"
2,6,"Male","Yes"
2,6,"Female","Yes"
2,6,"Female","No"
2,6,"Female","Yes"
2,6,"Female","No"
2,6,"Female","No"
2,6,"Female","Yes"
2,6,"Female","No"
2,6,"Female","Yes"
2,6,"Female","No"
2,6,"Female","No"
2,6,"Female","No"
2,6,"Female","No"
2,6,"Female","No"
2,6,"Female","No"
2,6,"Female","No"
2,6,"Female","No"
2,6,"Female","No"
2,6,"Female","No"
2,6,"Female","No"
2,6,"Female","Yes"
2,6,"Female","Yes"
2,6,"Female","Yes"
2,6,"Female","No"
2,6,"Female","No"
2,6,"Female","No"
2,6,"Female","Yes"
2,6,"Female","No"
2,6,"Female","No"
2,6,"Female","No"
2,6,"Female","No"
2,177,"Male","No"
2,177,"Male","No"
2,177,"Male","No"
2,177,"Male","No"
2,177,"Male","Yes"
2,177,"Male","No"
2,177,"Male","Yes"
2,177,"Male","Yes"
2,177,"Male","Yes"
2,177,"Male","Yes"
2,177,"Male","Yes"
2,177,"Male","No"
2,177,"Male","No"
2,177,"Male","Yes"
2,177,"Male","No"
2,177,"Male","Yes"
2,177,"Male","Yes"
2,177,"Male","Yes"
2,177,"Male","Yes"
2,177,"Male","Yes"
2,177,"Male","No"
2,177,"Male","No"
2,177,"Male","No"
2,177,"Male","No"
2,177,"Male","No"
2,177,"Male","Yes"
2,177,"Male","No"
2,177,"Male","No"
2,177,"Male","Yes"
2,177,"Male","No"
2,177,"Female","Yes"
2,177,"Female","No"
2,177,"Female","No"
2,177,"Female","No"
2,177,"Female","No"
2,177,"Female","Yes"
2,177,"Female","No"
2,177,"Female","No"
2,177,"Female","Yes"
2,177,"Female","Yes"
2,177,"Female","No"
2,177,"Female","No"
2,177,"Female","Yes"
2,177,"Female","Yes"
2,177,"Female","Yes"
2,177,"Female","Yes"
2,177,"Female","No"
2,177,"Female","No"
2,177,"Female","Yes"
2,177,"Female","Yes"
2,177,"Female","No"
2,177,"Female","No"
2,177,"Female","Yes"
2,177,"Female","No"
2,177,"Female","Yes"
2,177,"Female","Yes"
2,177,"Female","No"
2,177,"Female","No"
2,177,"Female","Yes"
2,177,"Female","Yes"
2,211,"Male","Yes"
2,211,"Male","Yes"
2,211,"Male","No"
2,211,"Male","No"
2,211,"Male","No"
2,211,"Male","Yes"
2,211,"Male","Yes"
2,211,"Male","No"
2,211,"Male","Yes"
2,211,"Male","Yes"
2,211,"Male","Yes"
2,211,"Male","Yes"
2,211,"Male","Yes"
2,211,"Male","Yes"
2,211,"Male","Yes"
2,211,"Male","Yes"
2,211,"Male","No"
2,211,"Male","Yes"
2,211,"Male","No"
2,211,"Male","Yes"
2,211,"Male","Yes"
2,211,"Male","Yes"
2,211,"Male","Yes"
2,211,"Male","Yes"
2,211,"Male","Yes"
2,211,"Male","No"
2,211,"Male","Yes"
2,211,"Male","Yes"
2,211,"Male","Yes"
2,211,"Male","Yes"
2,211,"Female","Yes"
2,211,"Female","No"
2,211,"Female","Yes"
2,211,"Female","No"
2,211,"Female","Yes"
2,211,"Female","Yes"
2,211,"Female","Yes"
2,211,"Female","No"
2,211,"Female","Yes"
2,211,"Female","Yes"
2,211,"Female","Yes"
2,211,"Female","No"
2,211,"Female","Yes"
2,211,"Female","Yes"
2,211,"Female","No"
2,211,"Female","No"
2,211,"Female","Yes"
2,211,"Female","No"
2,211,"Female","Yes"
2,211,"Female","No"
2,211,"Female","Yes"
2,211,"Female","Yes"
2,211,"Female","No"
2,211,"Female","No"
2,211,"Female","No"
2,211,"Female","No"
2,211,"Female","Yes"
2,211,"Female","No"
2,211,"Female","Yes"
2,211,"Female","Yes"
2,405,"Male","No"
2,405,"Male","No"
2,405,"Male","No"
2,405,"Male","Yes"
2,405,"Male","No"
2,405,"Male","No"
2,405,"Male","No"
2,405,"Male","No"
2,405,"Male","No"
2,405,"Male","Yes"
2,405,"Male","No"
2,405,"Male","No"
2,405,"Male","Yes"
2,405,"Male","No"
2,405,"Male","No"
2,405,"Male","No"
2,405,"Male","Yes"
2,405,"Male","No"
2,405,"Male","No"
2,405,"Male","Yes"
2,405,"Male","Yes"
2,405,"Male","Yes"
2,405,"Male","Yes"
2,405,"Male","No"
2,405,"Male","No"
2,405,"Male","Yes"
2,405,"Male","No"
2,405,"Male","No"
2,405,"Male","Yes"
