run,dose,sex,total_eggs
1,0,Female,11
1,0,Female,162
1,0,Female,21
1,0,Female,93
1,0,Female,35
1,0,Female,82
1,0,Female,83
1,0,Female,156
1,0,Female,88
1,0,Female,8
1,0,Female,53
1,0,Female,164
1,0,Female,14
1,0,Female,16
1,0,Female,27
1,6,Female,8
1,6,Female,0
1,6,Female,34
1,6,Female,2
1,6,Female,129
1,6,Female,58
1,6,Female,8
1,6,Female,10
2,6,Female,160
2,6,Female,165
2,6,Female,21
2,6,Female,159
2,6,Female,16
2,6,Female,17
2,6,Female,167
2,6,Female,0
2,6,Female,0
2,6,Female,29
2,6,Female,3
2,6,Female,11
2,6,Female,120
2,6,Female,136
2,6,Female,181
2,6,Female,12
2,6,Female,22
2,6,Female,182
2,176,Female,109
2,176,Female,22
2,176,Female,44
2,176,Female,70
2,176,Female,40
2,176,Female,9
2,176,Female,18
2,176,Female,117
1,177,Female,16
1,177,Female,3
1,177,Female,54
1,177,Female,17
1,177,Female,5
1,177,Female,7
1,177,Female,9
1,177,Female,2
1,177,Female,8
1,177,Female,7
1,177,Female,8
1,177,Female,3
1,177,Female,33
1,177,Female,9
1,177,Female,1
2,208,Female,69
2,208,Female,86
2,208,Female,22
2,208,Female,65
2,208,Female,35
2,208,Female,123
2,208,Female,155
2,208,Female,80
2,208,Female,0
2,208,Female,86
2,208,Female,0
2,208,Female,18
2,208,Female,1
2,208,Female,0
2,208,Female,64
2,208,Female,29
2,208,Female,44
2,208,Female,43
2,208,Female,4
2,208,Female,93
1,211,Female,62
1,211,Female,32
1,211,Female,14
1,211,Female,37
1,211,Female,3
1,211,Female,7
1,211,Female,2
1,211,Female,4
1,211,Female,19
1,211,Female,23
1,211,Female,10
1,211,Female,16
1,211,Female,6
1,211,Female,62
1,211,Female,0
1,211,Female,9
1,211,Female,36
2,309,Female,24
2,309,Female,0
2,309,Female,96
2,309,Female,61
2,309,Female,0
2,309,Female,6
2,309,Female,10
2,309,Female,78
2,309,Female,10
2,309,Female,9
2,309,Female,44
2,309,Female,2
2,309,Female,2
2,309,Female,67
2,309,Female,15
2,309,Female,18
2,309,Female,4
2,309,Female,68
2,310,Female,5
2,310,Female,14
2,310,Female,8
2,310,Female,29
2,310,Female,89
2,310,Female,183
2,310,Female,2
2,310,Female,0
1,405,Female,9
1,405,Female,31
1,405,Female,8
1,405,Female,9
1,405,Female,3
1,405,Female,20
1,405,Female,44
1,405,Female,61
1,405,Female,17
1,405,Female,40
1,405,Female,58
1,405,Female,9
1,405,Female,14
1,405,Female,4
1,405,Female,83
1,405,Female,39
1,405,Female,4
1,405,Female,68
1,405,Female,5
1,445,Female,13
1,445,Female,22
1,445,Female,0
1,445,Female,34
1,445,Female,50
1,445,Female,84
1,445,Female,37
1,445,Female,13
1,445,Female,23
1,445,Female,68
1,445,Female,27
1,445,Female,12
1,445,Female,0
1,445,Female,96
1,0,Male,3
1,0,Male,51
1,0,Male,2
1,0,Male,131
1,0,Male,67
1,0,Male,2
1,0,Male,149
1,0,Male,2
1,0,Male,24
1,0,Male,65
1,0,Male,51
1,0,Male,175
1,0,Male,52
1,0,Male,185
1,0,Male,42
1,0,Male,103
1,0,Male,77
1,0,Male,3
1,0,Male,38
1,0,Male,64
1,0,Male,165
1,0,Male,3
1,0,Male,64
1,6,Male,7
1,6,Male,37
1,6,Male,17
1,6,Male,7
1,6,Male,19
1,6,Male,7
1,6,Male,22
1,6,Male,12
1,6,Male,122
1,6,Male,133
1,6,Male,22
1,6,Male,53
1,6,Male,2
1,6,Male,2
1,6,Male,7
