Run,gy,sex,pupae_larvae
1,0,Female,1
1,0,Female,57
1,0,Female,2
1,0,Female,33
1,0,Female,15
1,0,Female,35
1,0,Female,31
1,0,Female,7
1,0,Female,36
1,0,Female,2
1,0,Female,3
1,0,Female,48
1,0,Female,0
1,0,Female,8
1,0,Female,0
1,6,Female,1
1,6,Female,0
1,6,Female,1
1,6,Female,0
1,6,Female,0
1,6,Female,0
1,6,Female,0
1,6,Female,0
2,6,Female,71
2,6,Female,82
2,6,Female,3
2,6,Female,51
2,6,Female,0
2,6,Female,3
2,6,Female,44
2,6,Female,0
2,6,Female,0
2,6,Female,0
2,6,Female,0
2,6,Female,0
2,6,Female,60
2,6,Female,62
2,6,Female,90
2,6,Female,0
2,6,Female,1
2,6,Female,88
2,176,Female,0
2,176,Female,0
2,176,Female,0
2,176,Female,0
2,176,Female,0
2,176,Female,0
2,176,Female,0
2,176,Female,4
1,177,Female,0
1,177,Female,0
1,177,Female,0
1,177,Female,0
1,177,Female,0
1,177,Female,0
1,177,Female,0
1,177,Female,0
1,177,Female,0
1,177,Female,0
1,177,Female,0
1,177,Female,0
1,177,Female,0
1,177,Female,0
1,177,Female,0
2,208,Female,0
2,208,Female,0
2,208,Female,0
2,208,Female,0
2,208,Female,0
2,208,Female,0
2,208,Female,0
2,208,Female,0
2,208,Female,0
2,208,Female,0
2,208,Female,0
2,208,Female,0
2,208,Female,0
2,208,Female,0
2,208,Female,0
2,208,Female,0
2,208,Female,0
2,208,Female,0
2,208,Female,0
2,208,Female,0
1,211,Female,0
1,211,Female,0
1,211,Female,0
1,211,Female,0
1,211,Female,0
1,211,Female,0
1,211,Female,0
1,211,Female,0
1,211,Female,0
1,211,Female,0
1,211,Female,0
1,211,Female,0
1,211,Female,0
1,211,Female,0
1,211,Female,0
1,211,Female,0
1,211,Female,0
2,309,Female,0
2,309,Female,0
2,309,Female,0
2,309,Female,0
2,309,Female,0
2,309,Female,0
2,309,Female,0
2,309,Female,0
2,309,Female,0
2,309,Female,0
2,309,Female,0
2,309,Female,0
2,309,Female,0
2,309,Female,0
2,309,Female,0
2,309,Female,0
2,309,Female,0
2,309,Female,0
2,310,Female,0
2,310,Female,0
2,310,Female,0
2,310,Female,0
2,310,Female,0
2,310,Female,0
2,310,Female,0
2,310,Female,0
1,405,Female,0
1,405,Female,0
1,405,Female,0
1,405,Female,0
1,405,Female,0
1,405,Female,0
1,405,Female,0
1,405,Female,0
1,405,Female,0
1,405,Female,0
1,405,Female,0
1,405,Female,0
1,405,Female,0
1,405,Female,0
1,405,Female,0
1,405,Female,0
1,405,Female,0
1,405,Female,0
1,405,Female,0
1,445,Female,0
1,445,Female,0
1,445,Female,0
1,445,Female,0
1,445,Female,0
1,445,Female,0
1,445,Female,0
1,445,Female,0
1,445,Female,0
1,445,Female,0
1,445,Female,0
1,445,Female,0
1,445,Female,0
1,445,Female,0
1,0,Male,0
1,0,Male,24
1,0,Male,0
1,0,Male,69
1,0,Male,45
1,0,Male,1
1,0,Male,87
1,0,Male,0
1,0,Male,0
1,0,Male,0
1,0,Male,1
1,0,Male,73
1,0,Male,12
1,0,Male,55
1,0,Male,23
1,0,Male,54
1,0,Male,42
1,0,Male,0
1,0,Male,2
1,0,Male,32
1,0,Male,59
1,0,Male,0
1,0,Male,36
1,6,Male,1
