dose2,run,sex,emmean,SE,df,asymp.LCL,asymp.UCL,.group
310,2,Male,2.774323328051986,0.20181230181629153,Inf,2.3787784848549274,3.1698681712490444, a 
175,2,Female,3.2724112325634325,0.33439281489149736,Inf,2.617013358687129,3.927809106439736, ab
210,1,Male,3.2781342483279943,0.22457154704562676,Inf,2.8379821041661235,3.718286392489865, ab
175,1,Female,3.296117161122374,0.27681218914712624,Inf,2.7535752399123172,3.8386590823324305, ab
5,1,Male,3.304205719940988,0.26830425295530735,Inf,2.7783390472496614,3.830072392632315, ab
210,1,Female,3.325433372328725,0.249675413827171,Inf,2.836078553402336,3.814788191255114, ab
175,2,Male,3.368041302177167,0.27662777763469915,Inf,2.8258608208898024,3.910221783464532, ab
5,2,Male,3.3905168285170224,0.28143720949658513,Inf,2.8389100339942615,3.9421236230397834, ab
175,1,Male,3.391747230736108,0.28367972118443857,Inf,2.8357451940702445,3.9477492674019716, ab
420,1,Female,3.4162352590266876,0.2086507539946998,Inf,3.0072872958499492,3.825183222203426, ab
310,2,Female,3.480055956574472,0.23490009267547643,Inf,3.019660234965418,3.9404516781835266, ab
420,1,Male,3.558703769336377,0.2052472982341094,Inf,3.1564264568733713,3.960981081799383, ab
210,2,Male,3.671948385261175,0.263831862184317,Inf,3.154847437405779,4.1890493331165715, ab
210,2,Female,3.719247509261906,0.23561351861853672,Inf,3.257453498498817,4.181041520024996, ab
5,1,Female,4.077778404448003,0.32768265669887037,Inf,3.435532198959815,4.720024609936192, ab
5,2,Female,4.164089513024038,0.25497146512889945,Inf,3.664354624285985,4.663824401762091,  b
0,1,Male,4.189654742026419,0.24838392617253988,Inf,3.7028311923895854,4.676478291663253,  b
0,1,Female,4.212621303146454,0.30753115910172574,Inf,3.6098713071832145,4.815371299109693,  b
