"Run","sex","gy","nObs","mn","sem","mn_trans","sem_trans"
"1","Female",0,15,18.5333333333333,5.03687986060406,3.21862547002993,0.535719823052776
"1","Female",6,8,0.25,0.163663417676994,0.25,0.163663417676994
"1","Female",177,15,0,0,0,0
"1","Female",211,17,0,0,0,0
"1","Female",405,19,0,0,0,0
"1","Female",445,14,0,0,0,0
"1","Male",0,23,26.7391304347826,5.96439282608143,3.21789862336985,0.553571809040254
"1","Male",6,16,12.625,5.56467654046486,1.89993656300013,0.59615303861278
"1","Male",177,14,0.928571428571429,0.780703301653023,0.398925892908654,0.263367561428361
"1","Male",211,23,0.130434782608696,0.0954363357126453,0.112389673944398,0.0797920102105105
"1","Male",405,11,0,0,0,0
"1","Male",445,23,0,0,0,0
"2","Female",6,18,30.8333333333333,8.57426229224469,2.97937792108266,0.69020251491016
"2","Female",176,8,0.5,0.5,0.29024101186092,0.29024101186092
"2","Female",208,20,0,0,0,0
"2","Female",309,18,0,0,0,0
"2","Female",310,8,0,0,0,0
"2","Male",6,14,7.42857142857143,4.84111771413741,1.06577936185168,0.539063516935581
"2","Male",176,15,0.133333333333333,0.133333333333333,0.105664166714744,0.105664166714744
"2","Male",208,14,1.85714285714286,1.78164371216904,0.407174265581507,0.337842713161026
"2","Male",309,21,0,0,0,0
"2","Male",310,15,0,0,0,0
